sourceNodeIndex,targetNodeIndex,weight
1205,531,0.0
1449,192,24.698639
1449,1146,0.0
1449,320,31.300573
1449,995,35.553783
1449,191,31.300573
1449,523,0.0
1449,1171,34.512558
713,771,0.0
713,1275,41.216133
713,788,0.0
713,196,0.0
713,276,0.0
759,1208,23.909939
759,969,38.75499
759,1030,23.909939
759,293,0.0
759,736,38.75499
759,647,0.0
759,321,23.909939
759,38,35.366844
1235,1342,19.08197
1235,1460,44.82073
1235,630,0.0
1235,755,44.82073
1235,862,19.603903
1235,965,31.283344
1235,291,19.603903
1235,1114,19.08197
408,1369,0.0
408,914,0.0
408,561,21.416422
408,1399,42.052235
408,369,26.613728
408,353,21.416422
408,227,0.0
914,1369,42.832832
914,1399,0.0
914,408,0.0
914,369,26.613728
914,227,26.613728
1338,988,19.001549
1338,901,0.0
1338,892,0.0
1338,81,19.001549
1338,509,0.0
1338,1173,19.001549
1338,318,36.487034
1338,1226,0.0
561,1369,33.438663
561,1395,0.0
561,1399,0.0
561,408,21.416422
561,353,0.0
484,948,38.194977
484,530,38.194977
484,710,38.194977
484,1437,38.194977
484,1264,0.0
484,244,38.194977
1122,1270,0.0
1122,162,0.0
1122,869,13.276941
362,1309,0.0
362,618,0.0
362,817,28.054268
362,614,0.0
362,758,19.717703
362,1022,0.0
838,924,0.0
838,299,0.0
838,769,42.333828
838,683,0.0
603,1170,28.791182
603,958,0.0
603,627,14.468017
603,873,0.0
603,1172,0.0
603,918,0.0
262,845,0.0
262,303,0.0
262,518,24.728365
262,27,22.231098
331,75,0.0
127,329,0.0
127,537,0.0
127,1384,15.23068
127,432,0.0
127,1153,27.19237
127,323,27.19237
127,692,15.23068
127,1051,0.0
127,312,19.211601
1093,1358,0.0
1093,1104,0.0
1093,1325,0.0
1093,1115,14.697262
1093,1070,14.697262
1093,471,0.0
1093,367,0.0
1093,277,0.0
1093,573,0.0
1093,678,43.950516
1093,215,0.0
314,804,48.369656
314,591,0.0
314,1000,48.369656
314,1436,45.213528
314,375,0.0
314,17,21.597359
598,779,46.32748
598,768,46.32748
598,1397,39.935783
598,1012,12.970517
598,522,39.935783
598,496,14.390076
598,148,33.424347
734,1118,30.548021
734,192,46.43777
734,80,0.44549853
293,759,0.0
293,647,0.0
1168,1372,14.589885
1168,1226,0.0
1168,117,45.223515
1168,318,0.0
1168,652,0.0
999,1077,42.468212
999,1348,49.852154
999,1385,49.852154
999,1376,49.852154
999,1332,49.852154
999,1417,0.0
999,261,0.0
999,339,42.468212
999,455,0.0
537,1384,15.23068
537,692,15.23068
537,329,0.0
537,127,0.0
537,432,0.0
537,312,0.0
326,473,0.0
326,1214,14.6975565
326,384,14.6975565
326,247,0.0
768,779,0.0
768,1397,46.32748
768,1012,34.254513
768,598,46.32748
1032,1195,9.564394
1032,1047,0.0
1032,1353,8.971925
1032,1344,8.971925
1032,1454,0.0
1032,1254,0.0
1032,337,0.0
1032,992,34.632435
1032,928,0.0
1032,593,9.564394
1032,830,9.564394
1032,126,8.971925
1032,418,8.971925
1353,1047,8.971925
1353,1032,8.971925
1353,928,8.971925
1353,126,0.0
1353,418,0.0
1353,1344,0.0
1353,1254,8.971925
802,1047,0.0
802,1380,42.56165
802,1211,42.56165
802,1442,42.56165
802,861,42.56165
802,874,0.0
802,1344,0.0
802,1316,0.0
802,642,42.56165
802,670,0.0
521,812,21.981651
521,1035,0.0
521,1391,35.503563
521,364,35.503563
521,481,0.0
521,20,0.0
521,218,0.0
521,24,35.503563
1324,398,0.0
1324,1080,0.0
1324,113,0.0
1324,843,35.89178
1324,1291,0.0
1324,986,10.326843
1324,971,10.326843
1324,83,0.0
1324,1037,0.0
1324,275,48.0269
1011,1439,49.349514
1011,1088,49.349514
1011,54,17.738659
1011,120,13.4675045
1011,69,11.1229515
1011,413,11.1229515
122,1406,45.489784
122,616,0.0
122,1206,0.0
122,255,45.489784
122,929,7.792368
122,685,18.518919
122,657,24.767931
122,256,24.767931
122,766,7.792368
1450,1423,0.0
1450,583,43.01154
1450,1303,0.0
1450,924,0.0
1450,327,43.01154
620,975,22.329609
620,4,0.0
620,580,22.329609
621,1174,11.98277
621,1268,0.0
621,842,15.57615
621,849,15.57615
621,717,0.0
621,1103,0.0
621,230,15.57615
621,478,0.0
230,621,15.57615
230,1174,10.587371
230,1268,11.982783
230,842,0.0
230,849,0.0
230,478,12.438157
230,717,12.438157
230,1103,12.438157
1284,1414,22.074615
1284,1343,32.574173
1284,1280,22.074615
1284,876,0.0
1284,927,37.629745
1284,243,0.0
1284,1024,37.629745
1284,1076,0.0
1284,655,37.629745
1284,171,22.074615
1284,1041,0.0
1265,1282,40.255787
1265,688,40.255787
1265,699,0.0
1265,1120,40.255787
1265,165,0.0
1265,219,40.255787
1265,632,17.941278
1265,966,0.0
1265,1094,18.272999
1265,183,0.0
1265,513,0.0
943,1248,0.0
943,1258,0.0
943,1304,41.14547
943,736,0.0
943,411,8.822286
943,322,8.822286
943,863,0.0
943,859,0.0
943,241,0.0
295,935,0.0
295,1275,0.0
295,788,37.64485
1247,1391,47.366905
1247,1376,4.534173
1247,1006,0.0
1247,157,47.366905
1247,751,47.366905
1247,955,0.0
1247,711,47.366905
1247,643,0.0
1247,167,47.366905
522,598,39.935783
522,1397,0.0
522,1012,12.634636
522,575,0.0
233,355,0.0
233,1322,11.543479
233,803,0.0
233,1098,0.0
233,877,17.83168
233,648,5.4281726
233,1228,14.041973
233,214,17.83168
1112,174,0.0
1112,611,42.54796
1112,774,0.0
1112,568,0.0
1112,524,49.929672
355,1424,0.0
355,1322,11.543479
355,1098,14.041973
355,877,17.83168
355,1354,15.584736
355,1228,14.041973
355,66,34.769093
355,214,17.83168
355,233,0.0
